timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/06 16:48:39.934, 100 %, 31897 MiB, 417.68 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:40.184, 100 %, 31897 MiB, 417.68 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:40.434, 100 %, 31897 MiB, 417.11 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:40.684, 100 %, 31897 MiB, 417.11 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:40.935, 100 %, 31897 MiB, 422.16 W, 67, 2820 MHz, 13801 MHz
2026/09/06 16:48:41.185, 100 %, 31897 MiB, 422.16 W, 67, 2820 MHz, 13801 MHz
2026/09/06 16:48:41.435, 100 %, 31897 MiB, 418.33 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:41.685, 100 %, 31897 MiB, 418.33 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:41.935, 100 %, 31897 MiB, 417.46 W, 71, 2820 MHz, 13801 MHz
2026/09/06 16:48:42.185, 100 %, 31897 MiB, 417.46 W, 71, 2820 MHz, 13801 MHz
2026/09/06 16:48:42.436, 100 %, 31897 MiB, 418.92 W, 71, 2812 MHz, 13801 MHz
2026/09/06 16:48:42.686, 100 %, 31897 MiB, 418.92 W, 71, 2812 MHz, 13801 MHz
2026/09/06 16:48:42.936, 100 %, 31897 MiB, 420.94 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:43.186, 100 %, 31897 MiB, 420.94 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:43.436, 100 %, 31897 MiB, 420.67 W, 68, 2820 MHz, 13801 MHz
2026/09/06 16:48:43.686, 100 %, 31897 MiB, 420.67 W, 68, 2820 MHz, 13801 MHz
2026/09/06 16:48:43.936, 100 %, 31897 MiB, 418.29 W, 68, 2820 MHz, 13801 MHz
2026/09/06 16:48:44.187, 100 %, 31897 MiB, 418.29 W, 68, 2820 MHz, 13801 MHz
2026/09/06 16:48:44.437, 100 %, 31897 MiB, 420.03 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:44.687, 100 %, 31897 MiB, 420.03 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:44.937, 93 %, 31897 MiB, 419.85 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:45.187, 93 %, 31897 MiB, 419.85 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:45.437, 93 %, 31897 MiB, 419.57 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:45.688, 93 %, 31897 MiB, 419.57 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:45.938, 100 %, 31897 MiB, 419.25 W, 70, 2812 MHz, 13801 MHz
